"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.331431750E0,7.250938003E0,-2.867209385E0,-5.893233824E0,9.773801537E0
1.341362750E0,7.451580530E0,-2.997735318E0,-5.568676518E0,9.773567803E0
1.351292750E0,7.640085992E0,-3.140606770E0,-5.221261861E0,9.772200380E0
1.361222750E0,7.774925709E0,-3.232429398E0,-4.922794831E0,9.753562351E0
1.371153750E0,7.576461269E0,-2.784815392E0,-5.152390432E0,9.576277424E0
1.381083750E0,6.072220604E0,2.274096188E-1,-6.994539936E0,9.265374634E0
1.391013750E0,8.142160088E-1,9.700659406E0,-8.544947877E0,1.295306430E1
1.400943750E0,-9.589240712E-1,7.665726618E0,-7.192496252E0,1.055532578E1
1.410874750E0,-9.100708768E-1,2.225349413E-1,-5.604134034E0,5.681907168E0
1.420804750E0,-8.082234313E0,-3.595784734E-1,7.378366374E0,1.094952504E1
1.430734750E0,-1.658760590E1,-3.414768679E0,5.137842208E1,5.409761150E1
1.440665750E0,2.171783070E0,-1.542276219E1,6.331351075E1,6.520106501E1
1.450595750E0,1.319249263E1,-1.580048530E1,7.842687922E0,2.202736824E1
1.460525750E0,5.990789940E0,-5.159455038E0,-1.611202729E1,1.794733863E1
1.470455750E0,4.190208584E0,-4.211506775E-1,-1.328539320E1,1.393688947E1
1.480386750E0,4.126212271E0,-2.086863957E-1,-1.016198718E1,1.096973843E1
1.490316750E0,3.265686899E0,-1.349837773E-1,-8.618887088E0,9.217816780E0
1.500246750E0,2.907713925E0,2.481717477E-1,-6.995065600E0,7.579401839E0
1.510177750E0,2.894164757E0,7.551448781E-1,-4.039692190E0,5.026484499E0
1.520107750E0,2.478896963E0,1.431905199E0,1.211081153E0,3.108375816E0
1.530037750E0,1.163103872E0,1.636873058E0,6.825927871E0,7.115156732E0
1.539968750E0,5.899383049E-1,2.520480679E-1,9.225662012E0,9.247940041E0
1.549898750E0,2.749994638E0,-2.031004629E0,5.952776021E0,6.864618902E0
1.559828750E0,3.883503412E0,-1.137701228E0,8.022438347E-1,4.125476701E0
1.569758750E0,2.084713351E0,1.675962864E0,-1.640400099E0,3.137800784E0
1.579689750E0,9.857546049E-1,8.833014464E-1,-2.136329940E0,2.513133343E0
1.589619750E0,3.464014806E-1,-6.304448182E-1,-1.349038605E0,1.528842638E0
1.599549750E0,2.045816503E-1,-7.921193077E-1,3.043890899E-1,8.729028396E-1
1.609480750E0,1.395978444E0,-1.228486487E-1,1.174726675E0,1.828614330E0
1.619410750E0,1.894247757E0,1.371489647E-1,6.170449734E-1,1.996929869E0
1.629340750E0,1.843612185E0,1.958500763E-1,8.037114859E-2,1.855726990E0
1.639271750E0,1.176700548E0,-3.130750922E-2,7.300599575E-2,1.179378742E0
1.649201750E0,9.586469132E-1,-3.192445991E-1,1.393672156E-1,1.019972666E0
1.659131750E0,1.328480233E0,-9.257937656E-2,8.676449418E-2,1.334525664E0
1.669061750E0,1.553506527E0,4.864701611E-2,9.029094994E-2,1.556888409E0
