"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.120011958E0,1.442101135E0,-5.900729370E-1,9.768536224E0,9.892024147E0
2.130057958E0,1.435963898E0,-5.852828979E-1,9.770781555E0,9.893064267E0
2.140102958E0,1.442250824E0,-5.861810303E-1,9.762848053E0,9.886197335E0
2.150147958E0,1.440304871E0,-5.801934814E-1,9.768386536E0,9.891030184E0
2.160192958E0,1.445543976E0,-5.816903687E-1,9.753866730E0,9.877544090E0
2.170238958E0,1.427880707E0,-5.806425476E-1,9.767189026E0,9.888072135E0
2.180283958E0,1.448687439E0,-5.869294739E-1,9.768536224E0,9.892799476E0
2.190328958E0,1.446142731E0,-5.926176453E-1,9.763596497E0,9.887888603E0
2.200373958E0,1.444346466E0,-5.981561279E-1,9.766889648E0,9.891211294E0
2.210419958E0,1.443598022E0,-5.798941040E-1,9.761650543E0,9.884840603E0
2.220464958E0,1.439706116E0,-5.911207581E-1,9.773925018E0,9.897059549E0
2.230509958E0,1.444645844E0,-5.932164001E-1,9.771230621E0,9.895244068E0
2.240554958E0,1.438059540E0,-5.819897461E-1,9.763895874E0,9.886373953E0
2.250600958E0,1.440604248E0,-5.867797852E-1,9.774224396E0,9.897227574E0
2.260645958E0,1.428778839E0,-5.830375671E-1,9.768236847E0,9.889377780E0
2.270690958E0,1.438209229E0,-5.878276062E-1,9.770033112E0,9.892802135E0
2.280735958E0,1.451232147E0,-5.815406799E-1,9.757010193E0,9.881473180E0
2.290781958E0,1.448088684E0,-5.794450378E-1,9.758357391E0,9.882219203E0
2.300826958E0,1.511556702E0,-5.318440247E-1,9.134754181E0,9.274232889E0
2.310871958E0,1.891316986E0,-3.532653809E-2,7.404352570E0,7.642170168E0
2.320916958E0,1.598525848E0,-2.507286072E-1,8.619375916E0,8.769936767E0
2.330962958E0,1.227148132E0,-7.605683899E-1,1.030202682E1,1.040269742E1
2.341007958E0,9.666897583E-1,-1.136436768E0,1.177586197E1,1.187000011E1
2.351052958E0,1.018182678E0,-1.408271484E0,1.203093155E1,1.215579033E1
2.361097958E0,1.384620667E0,-1.407672729E0,1.144205612E1,1.161117415E1
2.371143958E0,1.170266418E0,-1.072369995E0,1.103280716E1,1.114640456E1
2.381188958E0,1.249002686E0,-6.595285034E-1,9.598938904E0,9.702299399E0
